Data Center,Company,White space,Gross power
2055 E Technology Circle,Digital Realty Trust,2300 m²,5700 kW
21110 Ridgetop Circle,Digital Realty Trust,-,-
2121 S. Price Road,Digital Realty Trust,16000 m²,51000 kW
21551 Beaumeade Cir,Digital Realty Trust,-,-
21561-21571 Beaumeade Cir,Digital Realty Trust,-,-
2260 East El Segundo Blvd,Digital Realty Trust,6317 m²,15300 kW
2300 NW 89th Pl,Digital Realty Trust,-,-
2323 Bryan Street,Digital Realty Trust,14500 m²,24247 kW
2334 Lundy Place,Digital Realty Trust,-,-
2401 Walsh Street,Digital Realty Trust,-,-
2403 Walsh Street,Digital Realty Trust,-,-
2440 Marsh Lane,Digital Realty Trust,5574 m²,6750 kW
250 Williams Street NW,Digital Realty Trust,-,-
2501 S State Highway 121,Digital Realty Trust,25000 m²,2400 kW
2805 Lafayette Street,Digital Realty Trust,4831 m²,7650 kW
2820 Northwestern Parkway,Digital Realty Trust,3716 m²,50000 kW
3 Corporate Place,Digital Realty Trust,2323 m²,26000 kW
300 JFK Boulevard East,Digital Realty Trust,9500 m²,14000 kW
3011 Lafayette Street,Digital Realty Trust,2500 m²,12000 kW
3015 Winona Avenue,Digital Realty Trust,-,-
3080 Raymond Street,Digital Realty Trust,-,-
3105 Alfred Street,Digital Realty Trust,341 m²,7650 kW
350 E Cermak Rd. Chicago,Digital Realty Trust,35000 m²,100000 kW
36 NE 2nd St,Digital Realty Trust,5000 m²,2000 kW
365 Main Street,Digital Realty Trust,7000 m²,15000 kW
365 S Randolphville,Digital Realty Trust,22000 m²,22000 kW
375 Riverside Parkway,Digital Realty Trust,7500 m²,4000 kW
3825 NW Aloclek Place,Digital Realty Trust,1672 m²,14952 kW
400 S Akard Street,Digital Realty Trust,8000 m²,-
4025 Midway Rd,Digital Realty Trust,3000 m²,10000 kW
4030 Lafayette Center Drive,Digital Realty Trust,2000 m²,4000 kW
4040 Lafayette Center,Digital Realty Trust,1579 m²,4000 kW
4050 Lafayette Center Drive,Digital Realty Trust,15747 m²,6000 kW
43790 Devin Shafron Dr,Digital Realty Trust,-,-
43791 Devin Shafron Dr,Digital Realty Trust,4000 m²,12000 kW
43830 Devin Shafron Dr,Digital Realty Trust,3500 m²,10000 kW
43881 Devin Shafron Dr,Digital Realty Trust,5500 m²,16000 kW
43915 Devin Shafron Dr,Digital Realty Trust,4935 m²,12000 kW
43940 Digital Loudoun Plaza,Digital Realty Trust,12000 m²,44000 kW
44060 Digital Loudoun Plaza,Digital Realty Trust,8500 m²,32000 kW
44100 Digital Loudoun Plaza,Digital Realty Trust,6500 m²,25000 kW
44470 Chillum Place,Digital Realty Trust,-,-
4849 Alpha Road,Digital Realty Trust,3500 m²,9500 kW
55 Middlesex Turnpike,Digital Realty Trust,4459 m²,10000 kW
600 Winter St,Digital Realty Trust,-,3400 kW
600-780 South Federal,Digital Realty Trust,5000 m²,10000 kW
717 Leonard Street,Digital Realty Trust,-,-
720 Second Street,Digital Realty Trust,4645 m²,12325 kW
731 E Trade St,Digital Realty Trust,-,-
7401 E. Ben White Boulevard,Digital Realty Trust,6200 m²,2400 kW
7500 Metro Center Dr,Digital Realty Trust,2500 m²,8000 kW
7505 Mason King Court,Digital Realty Trust,-,-
760 Doug Davis Dr,Digital Realty Trust,-,-
7620 Metro Center Drive,Digital Realty Trust,1200 m²,750 kW
8100 Boone Boulevard,Digital Realty Trust,929 m²,800 kW
"8201 E. Riverside Drive, Building 4-6",Digital Realty Trust,4000 m²,-
8435 N. Stemmons Freeway,Digital Realty Trust,3252 m²,4000 kW
850 E. Collins Blvd,Digital Realty Trust,5574 m²,12400 kW
8534 Concord Center Dr,Digital Realty Trust,-,-
900 Quality Way,Digital Realty Trust,5574 m²,12400 kW
904 Quality Way,Digital Realty Trust,3716 m²,20000 kW
907 Security Row,Digital Realty Trust,6503 m²,12750 kW
908 Quality Way,Digital Realty Trust,650 m²,-
"9333, 9355 & 9377 Grand Ave.",Digital Realty Trust,16723 m²,60000 kW
950 E. Collins Blvd,Digital Realty Trust,5574 m²,12400 kW
SBP1,"Digital West Networks, Inc.",-,-
Intergate West,digital.forest,-,-
Ashburn,Dimension Data,-,-
Ashburn 2,Dimension Data,-,-
San Jose,Dimension Data,-,-
Austin Technology Park,Dimension Mission Critical Facilities,-,-
Dallas (Plano),Dimension Mission Critical Facilities,-,-
Kings Mountain,Disney,-,-
DLS Internet 216 Jackson,DLS Internet Services,-,-
DLS Internet LITH,DLS Internet Services,-,-
"The Fort  Honolulu, Hawaii",DRFortress,-,-
DRS Youngstown North Datacenter,DRS,-,-
Ultra Green Center,DTS-Net,-,-
Dynamic Quest,Dynamic Quest,-,-
Austin,Eagle Eye Networks,-,-
Boulder,Earthnet,-,-
Beaverton,EasyStreet Online,-,-
Arizona,Ebay,-,-
Utah,Ebay,-,-
EdgeBCC,EdgeBCC,929 m²,500 kW
Atlanta,EdgeConneX,622 m²,-
Boston,EdgeConneX,1124 m²,-
Denver,EdgeConneX,557 m²,-
Detroit,EdgeConneX,929 m²,-
Houston,EdgeConneX,1030 m²,-
Jacksonville,EdgeConneX,673 m²,-
Las Vegas,EdgeConneX,380 m²,-
Memphis,EdgeConneX,566 m²,-
Miami,EdgeConneX,641 m²,-
Nashville,EdgeConneX,510 m²,-
Norfolk,EdgeConneX,473 m²,-
